"","schid","c0110","c0112","c0114","c0116","c0120","c0122","c0124","c0126","c0128","c0130","c0132","c0134","c0136","c0138","c0140","c0141","c0142","c0143","c0144","c0146","c0148","c0150","c0152","c0154","c0156","c0158","c0160","c0162","c0164","c0166","c0168","c0169","c0170","c0171","c0172","c0173","c0174","c0176","c0178","c0180","c0182","c0184","c0186","c0188","c0190","c0192","c0194","c0196","c0198","c0200","c0202","c0204","c0206","c0208","c0210","c0212","c0214","c0216","c0218","c0220","c0222","c0224","c0226","c0228","c0230","c0244","c0246","c0248","c0250","c0252","c0254","c0256","c0258","c0260","c0262","c0264","c0266","c0268","c0270","c0272","c0274","c0276","c0280","c0282","c0284","c0286","c0288","c0290","c0292","c0294","c0296","c0298","c0300","c0302","c0304","c0306","c0308","c0374","c0376","c0378","c0380","c0382","c0384","c0386","c0388","c0390","c0392","c0394","c0396","c0398","c0400","c0402","c0404","c0406","c0408","c0410","c0412","c0414","c0416","c0418","c0420","c0422","c0424","c0426","c0428","c0430","c0432","c0434","c0436","c0438","c0440","c0442","c0444","c0446","c0448","c0450","c0452","c0454","c0456","c0508","c0510","c0512","c0514","c0516","c0518","c0520","c0526","c0528","c0532","c0534","c0536","c0538","c0560","c0562","c0568","c0570","c0572","c0578","c0578_dd","c0578_mm","year","c0580","crisis","distot","incid","incpol","othact","outsus","probwk","removl","strata","stuoff","svinc","svpol","transf","vioinc","viopol","disfire08","disweap08","disdrug08","disalc08","disatt08","disins08","ganghate","disrupt","sec_ft","sec_pt","fr_catmn","fr_lvel","fr_size","fr_urban","finalwgt","repwgt1","repwgt2","repwgt3","repwgt4","repwgt5","repwgt6","repwgt7","repwgt8","repwgt9","repwgt10","repwgt11","repwgt12","repwgt13","repwgt14","repwgt15","repwgt16","repwgt17","repwgt18","repwgt19","repwgt20","repwgt21","repwgt22","repwgt23","repwgt24","repwgt25","repwgt26","repwgt27","repwgt28","repwgt29","repwgt30","repwgt31","repwgt32","repwgt33","repwgt34","repwgt35","repwgt36","repwgt37","repwgt38","repwgt39","repwgt40","repwgt41","repwgt42","repwgt43","repwgt44","repwgt45","repwgt46","repwgt47","repwgt48","repwgt49","repwgt50","ic0110","ic0112","ic0114","ic0116","ic0120","ic0122","ic0124","ic0126","ic0128","ic0130","ic0132","ic0134","ic0136","ic0138","ic0140","ic0141","ic0142","ic0143","ic0144","ic0146","ic0148","ic0150","ic0152","ic0154","ic0156","ic0158","ic0160","ic0162","ic0164","ic0166","ic0168","ic0169","ic0170","ic0171","ic0172","ic0173","ic0174","ic0176","ic0178","ic0180","ic0182","ic0184","ic0186","ic0188","ic0190","ic0192","ic0194","ic0196","ic0198","ic0200","ic0202","ic0204","ic0206","ic0208","ic0210","ic0212","ic0214","ic0216","ic0218","ic0220","ic0222","ic0224","ic0226","ic0228","ic0230","ic0244","ic0246","ic0248","ic0250","ic0252","ic0254","ic0256","ic0258","ic0260","ic0262","ic0264","ic0266","ic0268","ic0270","ic0272","ic0274","ic0276","ic0280","ic0282","ic0284","ic0286","ic0288","ic0290","ic0292","ic0294","ic0296","ic0298","ic0300","ic0302","ic0304","ic0306","ic0308","ic0374","ic0376","ic0378","ic0380","ic0382","ic0384","ic0386","ic0388","ic0390","ic0392","ic0394","ic0396","ic0398","ic0400","ic0402","ic0404","ic0406","ic0408","ic0410","ic0412","ic0414","ic0416","ic0418","ic0420","ic0422","ic0424","ic0426","ic0428","ic0430","ic0432","ic0434","ic0436","ic0438","ic0440","ic0442","ic0444","ic0446","ic0448","ic0450","ic0452","ic0454","ic0456","ic0508","ic0510","ic0512","ic0514","ic0516","ic0518","ic0520","ic0526","ic0528","ic0532","ic0534","ic0536","ic0538","ic0540","ic0542","ic0544","ic0546","ic0556","ic0558","ic0560","ic0562","ic0568","ic0570","ic0572"
"1","2",1,1,1,2,2,1,2,2,2,2,2,2,1,1,2,1,2,1,1,2,1,2,1,1,2,1,1,1,2,1,2,1,1,2,2,2,1,1,1,1,1,1,2,1,2,2,2,4,3,1,1,1,2,2,1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,2,2,1,2,1,3,2,2,3,3,2,2,3,2,2,2,2,2,4,2,4,4,5,5,5,5,2,-1,2,-1,1,2,1,1,2,-1,1,1,2,-1,1,1,1,1,2,-1,1,1,2,-1,2,-1,1,1,1,1,1,1,1,1,40,0,0,0,40,0,0,15,13,10,40,25,7,2,2,97,94,82,"02272008",27,2,2008,80,6,74,45,21,74,0,1,0,242,75,0,0,0,34,15,0,0,0,0,34,40,0,0,-1,-1,4,2,4,2,12.7362861633459,12.9008082772406,13.015002953072,13.1150161019832,13.0820591051646,13.0985696064453,13.1442610210024,13.1050865987902,13.0247016125679,13.1210534081928,13.0065422907895,12.9505880528967,12.9167611458374,13.0184057538308,13.0139397651022,12.982652183997,13.0707563359853,12.9237793160173,12.9281722044699,12.9820151948424,13.0192938406225,12.975306602178,12.9199720773088,12.9133457297899,12.8137850004421,12.984722784427,12.9749889344334,13.0092481423995,12.8534010841808,12.975037263778,13.0420826296647,12.920735637067,12.842547789375,13.1590981559362,12.9465406249562,12.9738929992821,13.1266042398454,13.112465102097,0,12.8537474198257,13.0630363292304,12.8905463652228,12.956360084822,12.988607473871,13.1066761502899,12.8504756243932,13.016725913592,13.165863481134,12.943908379765,13.0024643219998,12.9683327377567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","3",1,1,1,2,2,2,1,1,2,2,2,1,1,1,2,1,2,2,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,3,3,2,1,1,1,1,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,2,3,2,3,2,3,2,3,2,3,1,2,2,2,2,4,2,4,4,5,4,5,5,2,-1,1,2,1,1,1,1,1,1,2,-1,2,-1,1,1,1,2,1,1,2,-1,1,1,2,-1,1,1,1,1,1,1,1,1,50,0,5,0,45,0,5,1,15,9,50,75,2,3,3,90,105,75,"03182008",18,3,2008,90,8,71,40,7,60,6,1,0,232,71,0,0,5,35,4,1,0,0,0,20,50,0,6,-1,-1,3,2,3,2,16.0173887782248,16.4878005925888,16.4586499861311,16.4730161497756,16.4864209361957,16.3302720974521,16.3723935820577,16.379463349527,16.403896341013,16.395226781515,16.550868200867,16.4175575271093,16.2523721066378,16.3581030692838,16.422951537468,16.2632529949077,16.2163888296122,16.4300691566948,16.3917200373854,16.3840829397814,16.3388148583031,16.3598595143154,16.2577352759505,16.3166843951689,16.2195963483082,16.2229888981085,16.412371067595,16.3867173888811,16.4853887302452,16.4096922464442,16.2910991626615,16.3296477942932,16.3345430280008,0,16.3262712489977,16.2430147616205,16.3613301333327,16.2750862771632,16.2469430806607,16.1235407856287,16.4206099985462,16.331980726629,16.2829270938662,16.3210548166556,16.3503647213717,16.2342212092959,16.2385929482701,16.4319070471576,16.4503183962653,16.3441410092032,16.1028586663593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,10,0,0,0,0,0,0,0
"3","4",1,1,2,2,2,2,1,2,2,2,1,2,1,1,2,1,2,2,1,2,1,2,1,1,2,1,1,2,-1,1,1,1,1,2,2,2,2,2,1,1,1,2,1,2,1,2,2,3,2,2,1,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,2,2,2,2,3,2,2,3,3,2,2,3,2,3,3,2,2,2,1,1,3,4,4,4,5,2,-1,2,-1,1,1,2,-1,1,1,1,1,2,-1,2,-1,1,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,1,2,-1,7,0,1,4,3,0,1,5,9,4,80,95,9,3,3,95,80,84,"03132008",13,3,2008,70,5,47,37,32,26,20,3,0,334,57,1,1,1,12,9,0,0,16,0,23,8,0,1,1,0,2,3,3,4,15.4640938594769,15.9345270039406,16.0189374869966,15.6881079653888,16.0428783503948,15.9332213933282,15.8284344829747,15.904531723366,15.8902666901261,15.9673903691503,15.7111010358914,15.5507947627869,15.9054893208266,15.7238555038355,15.4595655280904,15.8356432215632,15.7881990684764,15.7799605591119,0,15.7329537680987,15.6901307277697,15.6133464322981,15.5127124051121,15.8120035046383,15.7005118211273,15.7767243125224,15.6930678660947,15.7705739602361,15.6922849091545,15.8251411425432,15.6905903386435,15.8576093685685,15.5763863336999,15.7455689188269,15.6172859755803,15.6896636768393,15.9381235328653,15.9998108489503,15.8320356071643,15.6692337926281,15.7223569621515,15.8222796833399,15.8515938069646,15.9104690040556,16.0184118509309,16.002457946272,15.47388688211,15.8136716619835,15.8659101260664,15.8590387628035,15.61247747504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","6",1,1,1,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,2,1,3,2,2,3,3,3,2,3,3,3,2,2,3,2,2,4,3,3,4,5,4,5,5,2,-1,1,2,2,-1,2,-1,2,-1,1,1,2,-1,1,1,1,1,2,-1,2,-1,1,1,1,1,1,1,1,1,1,1,2,-1,0,0,0,0,0,0,0,35,14,10,50,80,6,3,3,97,58,100,"04092008",9,4,2008,NA,7,10,35,20,10,0,0,0,233,10,0,0,0,13,3,0,0,0,0,10,0,0,0,-1,-1,4,2,3,3,16.457437934301,16.7729017912079,16.7461469116623,16.737792968959,16.7634989919041,16.6793932556046,16.712254025491,16.8695648931058,16.7709210735475,16.6529354619785,0,16.6132241984631,16.7981252090886,16.6798891454479,16.8935058832482,16.4902051498643,16.8224248099576,16.9851869141711,17.1427249806076,16.6955849756472,16.687770346885,16.5723587135001,16.8329598561902,16.8261642373457,16.9422442773667,16.9316889660568,16.924271194195,16.8085430806394,16.8671347845372,16.9050322500668,16.6626715980717,16.8177448203094,16.6954570448778,16.8602022868287,16.8529198728719,16.8650394662169,16.7320649708019,16.6699104367713,16.8753161683616,16.76390603406,16.9413211101549,16.9253417703996,16.8024677668654,16.8837631106919,16.6800342425989,16.7108364876201,16.7385118746894,16.6623165969309,16.7135942432273,16.770478089604,16.8785021273358,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","7",1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,2,-1,1,1,2,1,2,1,2,1,1,1,2,1,2,1,2,2,1,2,2,2,4,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,2,2,1,2,1,3,2,3,3,3,3,2,1,2,3,1,2,2,2,2,4,2,3,4,5,3,5,5,1,1,1,1,1,2,1,1,1,1,1,1,2,-1,1,1,1,1,1,2,2,-1,1,2,2,-1,2,-1,1,1,1,1,2,-1,204,0,0,20,160,2,0,1,13,13,75,80,5,3,3,95,75,50,"03052008",5,3,2008,50,4,202,40,26,165,36,1,1,342,226,0,0,0,18,11,0,0,1,11,10,180,1,0,1,3,2,3,4,2,7.74230272874855,7.82457977668745,7.83230377154293,7.82108706548717,7.80139455640036,7.86421173580757,7.95688310345008,7.91213137674438,7.78916825883159,7.96365975874685,7.91407813742177,7.97920191028431,7.95375554296532,7.89950990328517,7.88216790881054,7.87320470396579,7.91337600023523,7.92885436171119,7.91116488550515,7.81043267414262,7.89142492300925,7.8811181123006,7.98406983741056,7.94083322481184,8.03814616598448,8.04239712189912,8.01418426484804,7.98603636744235,7.96370875370426,7.88127036254991,7.9085350682009,7.95403028977776,7.90339638846966,7.83370323824688,7.93196083023521,7.92101398710675,7.90590378869179,7.90398046274695,7.80268671754648,7.8506970471636,7.81850641364243,7.84270972615286,7.95265407161317,7.91673002176244,0,7.95935211463367,7.90496149205278,7.83349106439331,7.69300805981092,7.90753624397596,7.89001125590554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,0,14,14,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
"6","8",1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,2,2,-1,1,2,1,1,2,2,2,2,1,1,1,2,2,2,2,1,2,2,4,4,3,3,1,1,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,2,2,2,3,3,3,3,3,3,3,1,2,3,3,3,3,2,2,5,4,5,5,5,5,5,5,2,-1,2,-1,1,1,2,-1,1,1,1,1,1,2,2,-1,1,1,2,-1,2,-1,1,1,2,-1,1,2,1,1,1,2,1,2,0,0,0,0,0,0,1,18,7,2,70,75,0,3,3,98,40,10,"03232008",23,3,2008,48,5,1,6,4,0,0,0,0,134,1,0,0,1,0,0,0,0,1,0,0,0,0,0,-1,-1,3,1,3,4,60.4190963397911,61.6313507889806,62.1188761652639,60.1459136344611,60.4003392410554,62.2655953987711,61.6687902016563,61.7087843825341,61.9145767654083,60.920718261847,62.4331080864442,61.5925517776399,61.9426641823972,61.9499242555294,61.084929681764,61.3255201849687,62.3790837873834,61.7782207751864,61.6161177428235,61.3957121708463,61.5710777323555,61.2129453955271,61.9950792985664,61.5754647637419,62.3781501178581,60.0371189551218,61.4731932444446,61.171344448538,62.732460482286,0,63.0725131537153,62.2340492451263,62.330095184606,61.9569254570957,61.643407515205,62.3487245441277,61.5061018185955,60.848823098797,61.4053014939351,61.7032138627993,61.9260646171494,61.6667460328943,61.1530312886021,61.3198906703007,61.6987688414746,61.1210754061352,61.3798814317684,60.984547400117,61.5030853230288,61.5695052302728,62.4611783086488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","9",1,1,2,2,2,2,1,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,2,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,3,2,1,2,2,1,2,3,3,3,3,2,2,4,4,3,2,1,2,4,5,1,1,2,-1,1,1,1,1,2,-1,1,1,2,-1,1,1,1,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,1,1,1,64,0,0,0,15,1,3,45,20,25,75,65,5,2,3,89,50,115,"",NA,NA,2008,NA,8,27,55,19,15,8,3,1,342,73,1,0,3,39,10,0,0,1,6,5,15,0,0,4,0,4,3,4,2,9.79733927619163,9.91323564224706,10.0332511867761,9.93816646945375,9.83999124784745,9.92492080389421,10.0034435047078,9.91805747218076,10.100287750161,9.95674107320862,10.0733013937783,10.0893612270992,9.93176154013299,10.102986820001,10.0180358609081,9.96120894849276,10.0268993585396,10.0164329980413,10.0105414923737,9.90106013189309,10.0188464283908,9.93920766227903,10.1165413551997,10.0436533030601,10.112196438841,10.1804862076742,0,10.0578560473594,10.0479741000847,10.0638923103421,10.0313091530678,9.98349779939586,9.84351510270592,9.92281584729498,9.96675829323651,10.005832942243,10.0416547599914,9.99956072658139,9.86558280223496,9.93608902478768,10.019671266276,9.92278992614134,10.0213838072784,9.97896150406032,10.0486780577888,9.99045163491943,9.93872663742161,10.0404964811376,9.93292473800804,9.96698396171021,9.95761299067231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,18
"8","11",1,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,2,2,1,1,1,1,2,-1,1,1,2,1,2,2,2,2,1,1,1,1,2,2,1,2,1,2,4,4,3,3,2,2,2,1,2,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,2,1,2,3,2,3,2,2,2,2,2,2,2,2,2,4,4,4,5,5,5,5,5,1,1,1,1,1,2,2,-1,1,1,1,1,2,-1,1,1,1,1,2,-1,2,-1,1,1,2,-1,1,1,1,1,1,1,2,-1,6,0,0,0,0,4,0,1,10,15,80,85,6,3,3,97,6,4,"06032008",3,6,2008,NA,4,4,19,10,0,0,0,4,234,13,0,0,0,9,0,0,0,4,0,0,0,1,0,0,1,2,2,3,4,15.4460816578163,15.9069587157054,15.8030151642887,15.5685540395559,15.8853690752066,15.7615724690143,15.4422837757863,15.631614659449,15.7645084752541,15.8597058976387,15.7168121515802,15.6595113422524,15.8168147829197,15.7782577280512,15.5350754502063,15.7480003874391,15.6551945611997,15.9666998946542,15.735222330107,15.6967242250463,15.9023652123604,15.617752889681,15.589174500391,15.9464204374194,16.0189020462774,16.0710650075246,15.8591473677086,0,15.7593185945854,15.7826566711919,15.8342293152464,15.8147378627289,15.839452260442,15.7823399703233,15.587955935475,15.5158319944926,15.7781697735808,15.6472497866871,16.0244564856242,15.7268772403367,15.6995322803437,15.8844532524045,15.6766381252627,15.952093776999,15.9447945761168,15.8940741511436,15.4946828277155,15.5606457160746,15.8628031871804,15.6609049114942,15.3621956676408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","12",1,1,2,2,2,1,1,2,2,2,2,2,1,2,2,1,2,2,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,4,5,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,3,2,3,3,3,2,2,1,3,3,2,2,2,2,2,5,2,4,5,5,4,5,5,2,-1,1,2,1,2,2,-1,2,-1,1,1,2,-1,1,2,1,1,2,-1,2,-1,1,1,2,-1,2,-1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,14,10,80,90,5,3,3,96,13,23,"03052008",5,3,2008,205,8,0,2,1,0,0,1,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,4,76.7357659309866,76.4758114829417,79.4635348306114,77.430185213134,74.7230321938002,81.7085144526939,79.0742564681453,76.5786133005883,79.9654001179121,75.7682235974129,77.765160976268,78.3908509340865,78.7574488112326,78.6023568271814,77.5413288856649,77.4988145594043,79.029041702106,78.1725365682617,77.51234495245,77.4073862803551,78.2788583249289,77.390402873903,78.8080580066542,78.0883538081427,78.7595701404865,76.3087964117952,79.9158149306008,76.1353055254129,81.9858464356558,82.6308922637293,0,76.5046557414636,80.2035042557514,80.4828269530656,78.3142312365872,78.9469771964013,77.9402047994499,78.1339688633745,78.2727361637635,77.4645748500598,79.3569440926717,79.2779781803438,78.9013340847036,77.7941243778237,78.1945229839043,78.8310229418245,78.1635941156277,76.7366123270175,78.1209253077222,78.6959344948615,79.4301415049093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
"10","13",1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,-1,1,1,1,2,1,2,2,1,2,2,2,1,1,1,1,1,2,1,2,1,2,2,4,4,4,3,1,1,2,1,2,1,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,2,1,2,1,2,3,3,3,3,2,3,3,3,3,3,2,2,4,4,4,5,5,4,5,5,2,-1,2,-1,2,-1,2,-1,2,-1,2,-1,2,-1,2,-1,1,1,2,-1,2,-1,1,1,2,-1,2,-1,1,1,2,-1,2,-1,0,0,0,0,0,0,0,15,21,15,60,80,4,3,3,97,49,35,"03132008",13,3,2008,60,4,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,3,1,2,2,89.903251266182,93.0133726803106,91.1143458810296,92.1164208836336,92.6040031289901,92.0888802760909,92.624780721691,91.7148603731873,92.301804147107,91.5034950490954,92.1518887700006,92.3810306658319,89.1470067438405,89.9302619866809,91.6263784725462,92.218041651213,91.4285957120561,91.4188397203448,91.0498425116328,90.9499665573942,89.7611233318971,91.763040049395,91.2588075980643,90.8223624023611,91.0872932932243,89.831908196181,91.8244107158222,91.8783134406843,90.9700665358045,0,92.1658962825292,91.5889630595094,92.1829517742539,92.1352015694811,92.584108750044,91.4499539041425,92.7390627709181,93.4287347862186,93.0689495374279,92.2168084352518,93.048627922929,92.646188335584,92.8032257155408,91.66649866612,91.5139693909428,90.7421403422792,91.7917976401865,93.2606605997761,92.0164533818201,91.6983277761893,90.8163681796335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,6,0,0
