"","schid","c0110","c0112","c0114","c0116","c0120","c0121","c0122","c0125","c0129","c0134","c0136","c0138","c0140","c0139","c0141","c0143","c0142","c0144","c0146","c0150","c0153","c0155","c0158","c0162","c0166","c0170","c0169","c0161","c0157","c0163","c0165","c0167","c0174","c0183","c0176","c0181","c0175","c0177","c0179","c0186","c0600","c0602","c0604","c0606","c0608","c0190","c0192","c0196","c0198","c0204","c0206","c0208","c0210","c0212","c0214","c0216","c0218","c0610","c0612","c0614","c0616","c0618","c0621","c0622","c0624","c0626","c0628","c0630","c0632","c0636","c0638","c0640","c0642","c0644","c0646","c0648","c0650","c0652","c0654","c0656","c0658","c0660","c0661","c0663","c0665","c0667","c0669","c0671","c0674","c0676","c0678","c0681","c0682","c0684","c0686","c0266","c0268","c0265","c0267","c0269","c0270","c0272","c0278","c0271","c0273","c0274","c0276","c0277","c0279","c0280","c0282","c0284","c0286","c0288","c0290","c0292","c0294","c0296","c0298","c0300","c0302","c0304","c0705","c0688","c0374","c0376","c0378","c0381","c0383","c0385","c0387","c0382","c0380","c0384","c0386","c0389","c0391","c0393","c0402","c0404","c0406","c0408","c0410","c0412","c0422","c0424","c0426","c0428","c0430","c0432","c0434","c0436","c0442","c0444","c0446","c0448","c0450","c0452","c0454","c0456","c0532","c0534","c0536","c0538","c0560","c0562","c0568","c0570","c0572","c0578","c0578_dd","c0578_mm","year","c0578_source","c0580","strata","crisis","disalc","disdrug","disfire","disweap","incid","incpol","nonvioinc","nonviopol","othact","outsus","probwk","sec_ft","sec_pt","stuoff","svinc","svpol","vioinc","viopol","fr_urban","fr_lvel","fr_size","finalwgt","repfwt1","repfwt2","repfwt3","repfwt4","repfwt5","repfwt6","repfwt7","repfwt8","repfwt9","repfwt10","repfwt11","repfwt12","repfwt13","repfwt14","repfwt15","repfwt16","repfwt17","repfwt18","repfwt19","repfwt20","repfwt21","repfwt22","repfwt23","repfwt24","repfwt25","repfwt26","repfwt27","repfwt28","repfwt29","repfwt30","repfwt31","repfwt32","repfwt33","repfwt34","repfwt35","repfwt36","repfwt37","repfwt38","repfwt39","repfwt40","repfwt41","repfwt42","repfwt43","repfwt44","repfwt45","repfwt46","repfwt47","repfwt48","repfwt49","repfwt50","ic0110","ic0112","ic0114","ic0116","ic0120","ic0121","ic0122","ic0125","ic0129","ic0134","ic0136","ic0138","ic0140","ic0139","ic0141","ic0143","ic0142","ic0144","ic0146","ic0150","ic0153","ic0155","ic0158","ic0162","ic0166","ic0170","ic0169","ic0161","ic0157","ic0163","ic0165","ic0167","ic0174","ic0183","ic0176","ic0181","ic0175","ic0177","ic0179","ic0186","ic0600","ic0602","ic0604","ic0606","ic0608","ic0190","ic0192","ic0196","ic0198","ic0204","ic0206","ic0208","ic0210","ic0212","ic0214","ic0216","ic0218","ic0610","ic0612","ic0614","ic0616","ic0618","ic0621","ic0622","ic0624","ic0626","ic0628","ic0630","ic0632","ic0636","ic0638","ic0640","ic0642","ic0644","ic0646","ic0648","ic0650","ic0652","ic0654","ic0656","ic0658","ic0660","ic0661","ic0663","ic0665","ic0667","ic0669","ic0671","ic0674","ic0676","ic0678","ic0681","ic0682","ic0684","ic0686","ic0266","ic0268","ic0265","ic0267","ic0269","ic0270","ic0272","ic0278","ic0271","ic0273","ic0274","ic0276","ic0277","ic0279","ic0280","ic0282","ic0284","ic0286","ic0288","ic0290","ic0292","ic0294","ic0296","ic0298","ic0300","ic0302","ic0304","ic0705","ic0688","ic0374","ic0376","ic0378","ic0381","ic0383","ic0385","ic0387","ic0382","ic0380","ic0384","ic0386","ic0389","ic0391","ic0393","ic0402","ic0404","ic0406","ic0408","ic0410","ic0412","ic0422","ic0424","ic0426","ic0428","ic0430","ic0432","ic0434","ic0436","ic0442","ic0444","ic0446","ic0448","ic0450","ic0452","ic0454","ic0456","ic0532","ic0534","ic0536","ic0538","ic0560","ic0562","ic0568","ic0570","ic0572","ic0578","ic0580"
"1",4225,1,1,1,2,2,1,2,2,2,2,1,1,2,2,1,1,2,1,1,2,1,1,1,2,1,1,2,2,2,1,1,2,1,1,1,1,2,2,2,1,1,3,2,2,2,1,2,4,1,2,2,2,1,1,2,2,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,2,2,1,2,-1,-1,-1,-1,-1,2,-1,-1,2,-1,-1,2,2,2,3,3,3,2,1,1,1,1,2,1,2,1,2,1,2,1,1,2,3,2,3,3,3,3,2,3,3,3,1,3,3,2,1,4,3,4,4,5,5,4,5,4,4,5,3,4,4,2,-1,2,-1,1,2,1,1,2,-1,2,-1,1,2,2,-1,1,1,2,-1,2,-1,15,50,70,6,3,3,85,50,30,"03282018",28,3,2018,0,45,233,4,-1,-1,-1,-1,10,0,2,0,5,0,0,1,0,5,0,0,8,0,3," 2",3,12.7847,12.8765,13.1306,0,13.0788,13.2825,13.3607,13.3031,12.8806,13.0775,12.9093,13.135,13.2656,13.2212,13.1517,13.2366,13.2022,13.0538,13.3737,13.1073,13.3252,13.0896,13.1271,12.9204,12.8971,12.9398,12.8856,12.844,13.0482,12.8726,13.1179,12.9616,12.8561,13.0062,12.6647,12.8743,13.1045,13.0446,12.7899,12.919,12.9764,12.7803,13.0585,12.7397,13.0875,13.0193,12.8756,13.0866,13.0701,13.1577,13.3541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1274,1,1,2,2,2,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,2,2,2,2,-1,2,2,2,2,2,2,4,2,2,1,1,1,2,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,-1,-1,1,1,2,3,1,2,3,3,1,3,2,2,1,2,2,1,2,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,4,4,4,5,4,5,5,5,4,4,5,4,4,4,2,-1,1,1,1,2,1,1,1,1,2,-1,1,1,1,1,2,-1,1,1,1,2,5,25,20,6,3,3,91,40,30,"03122018",12,3,2018,0,120,224,7,-1,5,-1,1,16,1,7,1,0,0,0,1,0,9,2,0,9,0,4," 2",2,14.1247,14.428,14.4364,14.3588,14.2713,14.2582,14.42,14.1161,14.3229,14.3357,14.4837,14.3507,14.4932,14.3326,14.3782,0,14.4375,14.2386,14.2945,14.4837,14.3385,14.4479,14.4135,14.332,14.6625,14.3155,14.4224,14.5679,14.2976,14.3163,14.4747,14.4669,14.4105,14.6759,14.3667,14.5165,14.6663,14.6123,14.5477,14.3751,14.3695,14.2656,14.3528,14.5557,14.3828,14.6611,14.5484,14.3,14.4593,14.3589,14.386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
"3",1986,1,1,1,2,2,1,2,2,1,2,1,1,2,2,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,3,2,1,1,1,1,4,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,3,3,3,1,1,2,-1,-1,2,-1,-1,2,2,3,3,3,3,3,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,3,3,3,3,2,1,3,3,3,3,3,2,1,4,4,4,4,4,4,4,5,5,4,5,4,4,3,2,-1,2,-1,1,1,1,1,2,-1,2,-1,1,1,1,1,1,1,1,1,2,-1,5,95,95,9,3,3,97,57,21,"04082018",8,4,2018,0,38,231,7,-1,-1,-1,-1,12,1,4,1,-1,-1,0,1,0,0,0,0,8,0,1," 2",3,14.2743,14.8434,14.6663,14.719,14.81,14.354,14.212,14.3658,14.2878,14.7274,14.6588,14.8722,14.4216,14.9538,14.4368,14.5989,14.6004,14.5588,14.6701,14.1813,14.4869,14.7132,14.2446,14.4701,14.3603,14.6396,14.7186,14.3657,14.5136,14.4487,14.5942,0,14.5682,14.538,14.6468,14.7198,14.5405,14.6337,14.4885,14.6035,14.5517,14.4146,14.703,14.5253,14.6421,14.7152,14.5319,14.6315,14.6625,14.4594,14.6688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",29,1,1,1,2,2,1,1,1,2,2,2,2,2,2,1,1,2,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,2,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,-1,-1,2,-1,-1,1,1,2,2,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,3,3,3,3,1,1,2,3,2,2,3,2,3,4,2,4,4,4,4,4,4,4,4,4,2,3,3,1,2,2,-1,1,1,1,1,1,1,2,-1,1,1,1,2,1,1,1,1,2,-1,10,85,85,5,3,3,95,55,40,"02252018",25,2,2018,2,10,342,6,4,5,-1,1,25,14,14,7,0,1,1,3,0,15,6,6,11,7,2," 3",4,8.0931,0,8.1788,8.268,8.2278,8.234,8.2023,8.2788,8.3569,8.1366,8.1492,8.2228,8.2525,8.2622,8.282,8.3112,8.2808,8.2304,8.2438,8.2394,8.2321,8.1652,8.2554,8.2754,8.3154,8.2332,8.3061,8.182,8.2976,8.3002,8.2188,8.232,8.1597,8.3719,8.3966,8.3316,8.2927,8.2735,8.256,8.1995,8.1994,8.2465,8.3334,8.2895,8.3452,8.2785,8.2815,8.386,8.1593,8.214,8.2072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",2234,1,1,2,2,2,1,2,2,2,2,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,2,2,2,1,2,2,1,1,1,2,3,3,1,2,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,3,2,-1,-1,2,-1,-1,3,3,3,3,3,3,3,1,1,1,1,2,1,1,1,2,2,2,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,5,4,4,5,5,5,5,5,5,5,5,4,5,4,2,-1,2,-1,2,-1,1,1,2,-1,2,-1,1,1,2,-1,1,1,2,-1,2,-1,3,95,98,7,3,3,96,81,47,"06082018",8,6,2018,0,60,232,7,-1,-1,-1,-1,2,2,0,0,10,0,0,1,0,10,0,0,2,2,2," 2",3,14.1561,14.4833,14.8498,14.5621,14.1622,14.6087,14.6025,14.2812,14.3927,14.4368,14.5284,14.3677,14.2713,14.4054,14.1995,14.2414,14.7355,14.2107,14.4587,14.4194,0,14.4853,14.0386,14.2953,14.9134,14.568,14.5072,14.2464,15.0115,14.3353,14.2844,14.6852,14.3946,14.3959,14.4362,14.3512,14.4782,14.2602,14.9528,14.2832,14.6807,14.3523,14.2231,14.2736,14.6894,14.7206,14.2811,14.2452,14.4083,14.5834,14.4297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",570,1,1,1,2,1,1,1,1,1,2,1,1,2,2,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,-1,2,1,2,1,1,4,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,2,3,3,2,1,4,4,4,4,4,5,4,5,5,4,5,3,4,3,2,-1,1,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,1,1,1,1,1,10,60,85,4,3,3,95,15,15,"03232018",23,3,2018,0,45,333,7,-1,-1,-1,-1,40,3,3,3,0,5,0,0,1,5,0,0,37,0,3," 3",3,16.3808,16.4172,16.8081,16.483,16.796,16.9477,16.9158,16.858,16.4222,16.5208,16.3095,16.8784,16.9497,16.8892,16.9527,17.0494,16.5074,16.4973,16.7654,16.5387,16.9404,16.6502,16.7371,16.5072,16.7972,16.6419,16.6762,16.659,16.6194,16.5778,16.7133,16.6971,16.6085,16.7803,16.2042,16.5393,16.7393,16.7242,16.9556,16.6578,16.9264,16.3888,16.4199,16.6291,17.0851,16.6905,16.669,17.1624,0,17.121,16.9678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",1653,1,1,2,1,1,1,2,1,1,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,1,3,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,2,2,1,2,1,1,1,1,2,1,2,2,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,2,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,2,2,3,3,2,2,2,2,2,4,4,4,5,5,5,4,4,4,4,5,3,4,4,1,1,2,-1,1,1,1,1,1,1,2,-1,1,1,1,1,1,1,1,1,1,1,60,5,20,9,3,3,85,40,10,"02282018",28,2,2018,0,20,442,7,-1,4,-1,-1,13,6,7,4,4,0,0,0,1,6,0,0,6,2,2," 4",4,21.2145,22.3954,22.2735,22.2313,20.6343,20.9688,20.9841,21.0066,21.3288,20.9529,21.4557,21.1544,21.1683,21.1167,21.4647,20.7082,20.8456,20.6919,20.778,21.986,21.8546,21.859,21.2413,24.0948,22.0047,21.545,21.0073,21.7869,22.3906,26.3835,21.7113,20.9268,22.2212,22.138,21.407,0,22.1656,22.4316,22.5465,22.3214,20.7221,21.7067,21.0751,21.0988,21.2133,21.4996,21.5056,21.6942,21.3734,21.3294,22.2912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",3381,1,1,2,2,2,1,2,2,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,-1,1,2,2,1,1,2,4,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,2,1,2,2,2,2,2,2,-1,-1,2,-1,-1,2,1,1,2,2,2,2,1,1,1,1,1,1,2,2,2,1,2,1,1,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,1,5,4,4,4,5,5,5,5,4,3,4,4,4,5,2,-1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,60,20,50,7,2,2,95,18,12,"05142018",14,5,2018,0,-2,221,7,-1,-1,-1,-1,9,3,0,0,2,0,0,0,1,4,1,1,9,3,1," 2",2,15.3032,15.9851,15.7839,15.8367,15.7662,15.5002,15.3729,15.3437,15.2978,15.4466,15.7639,15.6616,15.6864,15.6437,15.345,15.6434,15.3066,15.9121,15.8353,15.7608,15.2963,15.4006,15.6902,15.8222,15.4577,15.4251,16.0216,15.7694,15.2189,0,15.672,15.3476,15.7825,15.7116,15.486,15.9056,15.5377,15.5814,15.5631,15.5289,15.4986,15.2185,15.7499,15.9629,15.8613,15.7994,15.3837,15.4872,15.8232,15.5804,15.7471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",4794,1,1,2,2,2,1,1,2,1,2,1,1,2,2,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,-1,2,2,2,1,2,1,1,1,2,1,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,1,1,2,2,-1,-1,-1,-1,-1,2,-1,-1,1,1,2,2,2,3,3,3,3,3,2,2,2,2,2,1,2,1,2,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,5,4,5,5,5,5,4,5,5,5,4,4,4,4,2,-1,1,2,1,1,1,1,2,-1,2,-1,1,1,2,-1,1,1,1,1,2,-1,3,75,90,7,3,3,96,10,5,"03082018",8,3,2018,0,30,234,7,-1,1,-1,-1,5,1,2,0,11,8,0,1,0,7,0,0,3,1,4," 2",3,15.5284,15.9258,16.0941,15.8937,15.6756,15.9254,15.8116,15.5268,15.8323,15.5229,15.769,15.7019,15.7276,15.7524,15.7375,15.8076,16.0164,15.6991,15.6826,16.2505,16.0937,15.7925,15.7352,15.4285,15.8472,15.6124,15.7634,15.76,15.8588,15.8844,16.0028,15.8008,15.5905,15.814,15.9358,16.0525,15.7873,16.0823,15.7716,16.2437,15.7553,16.209,15.8954,15.7822,0,16.1643,15.623,15.97,15.7146,15.8617,16.1685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,7,0,0,0,0,0,7,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2402,1,1,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,4,4,1,1,1,1,1,1,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,2,3,3,3,3,3,3,3,3,2,1,5,4,5,5,5,5,4,5,5,5,5,5,5,5,2,-1,1,1,2,-1,1,1,1,1,2,-1,1,1,2,-1,2,-1,1,1,2,-1,5,80,80,4,3,3,95,30,36,"02272018",27,2,2018,0,45,124,8,-1,-1,-1,-1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,4," 1",2,74.8402,76.0744,75.3087,76.2643,75.9794,74.2846,76.4096,75.2102,75.6851,77.2237,76.1253,76.4144,74.8683,77.1603,76.9343,75.1597,76.0493,75.4284,77.4172,76.9827,78.5191,77.0164,0,76.3892,77.1693,76.2277,76.0092,76.6865,75.6471,77.5992,76.4004,75.8423,76.2409,77.0223,76.3461,76.804,76.9606,77.5892,77.0508,76.1533,76.8284,76.055,76.3449,78.0634,74.7251,76.2364,76.515,77.3692,76.6777,75.0364,75.2939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
